square_feet,price
1847,189500
2156,224300
1245,145200
2890,315800
1678,175400
2234,241600
1456,152300
3145,342100
1923,198700
2567,278900
1334,138900
2789,304500
1789,182600
2345,251800
1567,164200
2123,218400
1678,172300
2890,312700
1456,149800
2456,264900
1823,187900
2167,226500
1289,142100
2678,289300
1934,201200
2345,248700
1567,167800
2789,308900
1678,176500
2234,239400
1445,151600
2567,276200
1823,184700
2156,221800
1289,144300
2678,294800
1934,199500
2345,253200
1567,165900
2123,215600
1678,174800
2456,262400
1823,186200
2167,228900
1334,140600
2789,311200
1456,154500
2567,278100
1923,196400
2234,243100
